29.01048,-101.26557
22.37031,-98.80558
22.37561,-98.90537
22.9,-98.86667
22.45077,-98.83409
22.49208,-98.91045
22.58887,-98.87068
22.53325,-98.88544
22.49341,-98.92949
22.55862,-98.93052
22.6,-98.95
22.61667,-98.88333
22.70351,-98.71964
22.7623,-98.77851
22.72951,-98.86095
22.76667,-98.98333
22.7776,-98.8738
22.90822,-98.85364
22.8,-98.78333
22.8694,-98.75886
22.8311,-98.59037
22.86667,-98.56667
22.85022,-98.73141
22.92158,-98.52667
22.90631,-98.63759
23.02882,-98.76079
22.96667,-98.96667
22.97617,-98.88538
22.96058,-98.94992
22.94524,-98.96246
22.93333,-98.98333
22.92757,-98.99903
22.78333,-99.0
22.87133,-98.99103
22.8198,-98.97304
22.80388,-98.93599
22.80128,-98.94556
22.71903,-98.91591
22.71667,-98.96667
22.62058,-99.02142
22.50473,-99.05473
22.41726,-99.0583
22.46339,-99.09467
22.08917,-99.11095
22.5069,-99.17103
22.60865,-99.05394
22.64154,-99.15972
22.70024,-99.04458
22.70568,-99.17249
22.71947,-99.10398
